t            Tb_tes       
1.667200e+01 -6.346362e-02 
1.670400e+01 -6.733820e-02 
1.673600e+01 -6.013476e-02 
1.676800e+01 -6.542820e-02 
1.680000e+01 -6.264505e-02 
1.683200e+01 -6.499162e-02 
1.686400e+01 -6.482791e-02 
1.689600e+01 -6.766563e-02 
1.692800e+01 -7.192221e-02 
1.696000e+01 -6.406391e-02 
1.699200e+01 -6.395476e-02 
1.702400e+01 -6.182648e-02 
1.705600e+01 -6.564648e-02 
1.708800e+01 -6.089876e-02 
1.712000e+01 -5.762447e-02 
1.715200e+01 -5.969819e-02 
1.718400e+01 -6.913906e-02 
1.721600e+01 -6.177190e-02 
1.724800e+01 -6.384562e-02 
1.728000e+01 -6.379105e-02 
1.731200e+01 -5.926161e-02 
1.734400e+01 -5.991647e-02 
1.737600e+01 -5.827933e-02 
1.740800e+01 -5.735161e-02 
1.744000e+01 -6.013476e-02 
1.747200e+01 -5.353160e-02 
1.750400e+01 -5.647847e-02 
1.753600e+01 -6.379105e-02 
1.756800e+01 -6.018933e-02 
1.760000e+01 -6.111705e-02 
1.763200e+01 -6.199019e-02 
1.766400e+01 -6.531905e-02 
1.769600e+01 -5.538704e-02 
1.772800e+01 -6.144448e-02 
1.776000e+01 -6.313619e-02 
1.779200e+01 -6.379105e-02 
1.782400e+01 -5.620561e-02 
1.785600e+01 -5.511418e-02 
1.788800e+01 -6.379105e-02 
1.792000e+01 -5.751533e-02 
1.795200e+01 -6.242676e-02 
1.798400e+01 -6.319076e-02 
1.801600e+01 -5.244017e-02 
1.804800e+01 -5.058474e-02 
1.808000e+01 -5.767904e-02 
1.811200e+01 -6.264505e-02 
1.814400e+01 -5.926161e-02 
1.817600e+01 -5.947990e-02 
1.820800e+01 -5.522332e-02 
1.824000e+01 -5.735161e-02 
1.827200e+01 -5.598732e-02 
1.830400e+01 -5.773361e-02 
1.833600e+01 -6.542820e-02 
1.836800e+01 -6.062590e-02 
1.840000e+01 -6.433677e-02 
1.843200e+01 -5.833390e-02 
1.846400e+01 -5.806104e-02 
1.849600e+01 -6.482791e-02 
1.852800e+01 -5.833390e-02 
1.856000e+01 -5.113046e-02 
1.859200e+01 -6.128076e-02 
1.862400e+01 -5.364075e-02 
1.865600e+01 -4.818360e-02 
1.868800e+01 -6.226305e-02 
1.872000e+01 -5.080303e-02 
1.875200e+01 -6.537362e-02 
1.878400e+01 -6.160819e-02 
1.881600e+01 -6.450048e-02 
1.884800e+01 -6.384562e-02 
1.888000e+01 -5.271303e-02 
1.891200e+01 -5.233103e-02 
1.894400e+01 -5.211275e-02 
1.897600e+01 -5.811561e-02 
1.900800e+01 -6.297248e-02 
1.904000e+01 -6.335448e-02 
1.907200e+01 -6.171733e-02 
1.910400e+01 -5.664218e-02 
1.913600e+01 -5.718790e-02 
1.916800e+01 -6.177190e-02 
1.920000e+01 -5.576904e-02 
1.923200e+01 -5.729704e-02 
1.926400e+01 -5.871590e-02 
1.929600e+01 -5.069389e-02 
1.932800e+01 -5.151246e-02 
1.936000e+01 -5.249475e-02 
1.939200e+01 -5.751533e-02 
1.942400e+01 -5.123960e-02 
1.945600e+01 -5.969819e-02 
1.948800e+01 -5.571447e-02 
1.952000e+01 -4.954788e-02 
1.955200e+01 -5.806104e-02 
1.958400e+01 -5.396818e-02 
1.961600e+01 -6.400934e-02 
1.964800e+01 -5.271303e-02 
1.968000e+01 -6.302705e-02 
1.971200e+01 -5.664218e-02 
1.974400e+01 -5.129417e-02 
1.977600e+01 -5.680590e-02 
1.980800e+01 -5.042103e-02 
1.984000e+01 -5.140332e-02 
1.987200e+01 -5.418646e-02 
1.990400e+01 -5.107589e-02 
1.993600e+01 -5.593275e-02 
1.996800e+01 -4.594616e-02 
2.000000e+01 -5.304046e-02 
2.003200e+01 -4.987531e-02 
2.006400e+01 -5.353160e-02 
2.009600e+01 -4.436359e-02 
2.012800e+01 -5.194903e-02 
2.016000e+01 -5.800647e-02 
2.019200e+01 -5.866133e-02 
2.022400e+01 -4.801988e-02 
2.025600e+01 -5.249475e-02 
2.028800e+01 -5.435018e-02 
2.032000e+01 -5.658761e-02 
2.035200e+01 -5.729704e-02 
2.038400e+01 -5.113046e-02 
2.041600e+01 -5.445932e-02 
2.044800e+01 -4.419988e-02 
2.048000e+01 -5.484132e-02 
2.051200e+01 -5.505961e-02 
2.054400e+01 -5.740618e-02 
2.057600e+01 -4.550959e-02 
2.060800e+01 -5.593275e-02 
2.064000e+01 -4.894760e-02 
2.067200e+01 -5.451389e-02 
2.070400e+01 -5.696961e-02 
2.073600e+01 -4.518216e-02 
2.076800e+01 -4.823817e-02 
2.080000e+01 -5.391361e-02 
2.083200e+01 -5.636932e-02 
2.086400e+01 -4.490930e-02 
2.089600e+01 -5.358618e-02 
2.092800e+01 -5.495046e-02 
2.096000e+01 -4.403616e-02 
2.099200e+01 -4.709217e-02 
2.102400e+01 -5.134874e-02 
2.105600e+01 -4.501845e-02 
2.108800e+01 -5.107589e-02 
2.112000e+01 -4.600074e-02 
2.115200e+01 -4.419988e-02 
2.118400e+01 -4.889303e-02 
2.121600e+01 -4.108930e-02 
2.124800e+01 -5.538704e-02 
2.128000e+01 -5.069389e-02 
2.131200e+01 -4.458188e-02 
2.134400e+01 -4.971160e-02 
2.137600e+01 -5.424103e-02 
2.140800e+01 -4.305387e-02 
2.144000e+01 -4.938417e-02 
2.147200e+01 -4.354502e-02 
2.150400e+01 -4.627359e-02 
2.153600e+01 -4.589159e-02 
2.156800e+01 -4.862017e-02 
2.160000e+01 -5.462304e-02 
2.163200e+01 -3.956130e-02 
2.166400e+01 -4.785617e-02 
2.169600e+01 -4.534588e-02 
2.172800e+01 -5.025731e-02 
2.176000e+01 -4.834731e-02 
2.179200e+01 -5.947990e-02 
2.182400e+01 -4.878388e-02 
2.185600e+01 -5.162160e-02 
2.188800e+01 -4.425445e-02 
2.192000e+01 -4.954788e-02 
