theta        pow          
4.343020e+01 1.690502e-03 
4.348750e+01 1.669150e-03 
4.354479e+01 1.648166e-03 
4.360209e+01 1.627548e-03 
4.365938e+01 1.607295e-03 
4.371668e+01 1.587405e-03 
4.377398e+01 1.567875e-03 
4.383127e+01 1.548703e-03 
4.388857e+01 1.529889e-03 
4.394586e+01 1.511429e-03 
4.400316e+01 1.493322e-03 
4.406045e+01 1.475566e-03 
4.411775e+01 1.458158e-03 
4.417505e+01 1.441096e-03 
4.423234e+01 1.424378e-03 
4.428964e+01 1.408002e-03 
4.434693e+01 1.391965e-03 
4.440423e+01 1.376266e-03 
4.446152e+01 1.360901e-03 
4.451882e+01 1.345868e-03 
4.457612e+01 1.331166e-03 
4.463341e+01 1.316790e-03 
4.469071e+01 1.302740e-03 
4.474800e+01 1.289012e-03 
4.480530e+01 1.275604e-03 
4.486260e+01 1.262513e-03 
4.491989e+01 1.249737e-03 
4.497719e+01 1.237272e-03 
